,Name,Category,Image,Well_Known_Movie,Bio
861,Kunal Goswami,Actor,"https://m.media-amazon.com/images/M/MV5BMDRiMWUxYjMtN2EyYi00ODgyLTlmNzMtZDI0OTVjZjVkYmQzXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX140_CR0,0,140,209_AL_.jpg",Kranti,Made his film debut as a child star in
862,Sharad S. Kapoor,Actor,"https://m.media-amazon.com/images/M/MV5BYzQ5MzkyNDMtYjFjNC00NGE1LTk4MjItZDVkYjY4MzEwNzcwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR11,0,140,209_AL_.jpg",Josh,Sharad S
863,LUV,Actor,"https://m.media-amazon.com/images/M/MV5BNzMxYjI2MzYtM2UzMC00ZmNjLTllM2UtOTE5NWIwNTgwMDdmXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UX140_CR0,0,140,209_AL_.jpg",Hostel Daze,"LUV was born on August 20, 1992 in India"
864,Himani Shivpuri,Actress,"https://m.media-amazon.com/images/M/MV5BYjlmMmE0NjItYzYxNy00NWE3LWI0OTktN2RiN2U5ZTk5MWJjXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR9,0,140,209_AL_.jpg",Kuch Kuch Hota Hai,"Himani Shivpuri was born on October 24, 1960 in Dehra Dun, Uttar Pradesh, India"
865,Boney Kapoor,Producer,"https://m.media-amazon.com/images/M/MV5BMTRhNDNkMzYtOTI0Zi00OTFiLWE0NWItNTIwYWQ4ZDY0ZGMyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR17,0,140,209_AL_.jpg",Wanted,"Boney Kapoor was born on November 11, 1953 in Meerut, Uttar Pradesh, India as Achal Kapoor"
866,Frank Olegario,Actor,"https://m.media-amazon.com/images/M/MV5BNTE0NGI3NzctMjcxYS00OGZiLTgxOWQtMWM4MTNhNjllOWNhXkEyXkFqcGdeQXVyMTQxMjk0Mg@@._V1_UY209_CR60,0,140,209_AL_.jpg",Indiana Jones and the Temple of Doom,"Frank Olegario was born on March 6, 1929 in Bombay, India as Olegario Matthew Frank"
867,Suchitra Krishnamoorthi,Actress,"https://m.media-amazon.com/images/M/MV5BNDNhMTRlZjItODhhMi00MDA4LThmYTYtNmMwYTUwNjliMzI0XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR1,0,140,209_AL_.jpg",Kabhi Haan Kabhi Naa,"Suchitra Krishnamoorthi was born on November 27, 1975 in Bombay, Maharashtra, India"
868,Vijay Maurya,Actor,"https://m.media-amazon.com/images/M/MV5BOTQyYzY1ZmQtN2YxZC00NDJlLWEwZTItM2ZmY2YyMmY0Mjg0XkEyXkFqcGdeQXVyMjE5MjAyNzE@._V1_UY209_CR69,0,140,209_AL_.jpg",Gully Boy,"Vijay Maurya was born on September 1, 1972 in Bombay, Maharashtra, India"
869,Shefali Zariwala,Actress,"https://m.media-amazon.com/images/M/MV5BMjkxYzBhYzctZjBjMi00ODNiLWIzOWMtY2YzMTIzNjIyMDM1XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX140_CR0,0,140,209_AL_.jpg",Mujhse Shaadi Karogi,"Shefali Zariwala was born on November 24, 1982 in Gujarat, India"
870,Navni Parihar,Actress,"https://m.media-amazon.com/images/M/MV5BNTYxNTQxMDk4OV5BMl5BanBnXkFtZTgwMzcyNzIxNzE@._V1_UY209_CR87,0,140,209_AL_.jpg",Hulchul,"Navni Parihar was born on September 13, 1964 in India"
871,Vijayakanth,Actor,"https://m.media-amazon.com/images/M/MV5BZmNmYTNiNzEtZTlmOC00OGFhLTgyYWMtYWYzZDE5NTUyNjFlXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY209_CR4,0,140,209_AL_.jpg",Amman Koil Kizhakkaalae,"Vijayakanth, who's affectionately called 'Puratchi Kalaignar' and 'Captain' by his fans and well-wishers, had to face so many challenges and unfriendly situations before he could achieve the fame and popularity he's enjoying to-day in Tamil filmfield"
872,Richa Gangopadhyay,Actress,"https://m.media-amazon.com/images/M/MV5BMTZlZTc5MTctMTU3MC00YmIzLWJkYmItNDNhOTY2NDFlMzc4XkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY209_CR3,0,140,209_AL_.jpg",Mayakkam Enna,"Richa Gangopadhyay (born Antara Gangopadhyay) is an Indian film actress, model and former beauty queen"
873,Nusrat Jahan,Actress,"https://m.media-amazon.com/images/M/MV5BMTk4NjYwOGUtYmZhYS00ZDgwLWE5ZDctMzc2NTRmNTJmYTE3XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR2,0,140,209_AL_.jpg",Shatru,"Nusrat Jahan was born on January 8, 1990 in Calcutta, West Bengal, India"
874,Jag Mundhra,Director,"https://m.media-amazon.com/images/M/MV5BMTM1NDYyNzQ1NF5BMl5BanBnXkFtZTcwMzI4MDcyMQ@@._V1_UY209_CR5,0,140,209_AL_.jpg",Bawandar,"Jag Mundhra was born on October 29, 1948 in Nagpur, Central Provinces and Berar, India"
875,Kaushik Ganguly,Director,"https://m.media-amazon.com/images/M/MV5BZjNmOGQwYTUtYTk3Ni00OTExLWJmZGItYWJiMTU3MDhiZmQzXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR80,0,140,209_AL_.jpg",Nagarkirtan,"Kaushik Ganguly was born on August 4, 1968 in Calcutta, West Bengal, India"
876,Nirmal Pandey,Actor,"https://m.media-amazon.com/images/M/MV5BYjRkNWFmOTQtMGZmMy00MThhLWFiOWMtZjg5MWJjZGQyN2QxXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR1,0,140,209_AL_.jpg",Bandit Queen,"Nirmal Pandey was born on August 10, 1962 in Nainital, Uttar Pradesh, India as Rajkumar Pandey"
877,Vivek Shauq,Actor,"https://m.media-amazon.com/images/M/MV5BNjZiMWJmYzUtZjY3My00MzFkLTk4YjktNWVkZTNhMjdhMjA4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR3,0,140,209_AL_.jpg",Gadar: Ek Prem Katha,"Vivek Shauq was born on June 21, 1963 in Chandigarh, Punjab, India"
878,Raageshwari,Actress,"https://m.media-amazon.com/images/M/MV5BMDVmY2FjNWYtOTdhNS00NzRmLThlMTAtZDFlNzA3NWI5M2Y5XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR15,0,140,209_AL_.jpg",Mumbai Se Aaya Mera Dost,"Raageshwari was born on July 25, 1977 in Bombay, Maharashtra, India as Raageshwari Loomba"
879,Abdur Razzak,Actor,"https://m.media-amazon.com/images/M/MV5BZDBmOTc5MTQtZmU3Ni00MmY0LWI3ZDYtZTg1MzQ2MjdkNzA0XkEyXkFqcGdeQXVyNDI3NjcxMDA@._V1_UY209_CR53,0,140,209_AL_.jpg",Chandranath,"Abdur Razzak was born on January 23, 1942 in Calcutta, Bengal Presidency, British India"
880,Surbhi Jyoti,Actress,"https://m.media-amazon.com/images/M/MV5BOTU5MjYwZTAtNTc4Yy00Nzg4LTlkNWYtNjcyYzFmOTE4MDk0XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR6,0,140,209_AL_.jpg",Qubool Hai,"Surbhi Jyoti was born on May 29, 1988 in Jalandhar, Punjab, India"
881,Sudhir Pandey,Actor,"https://m.media-amazon.com/images/M/MV5BODdkOGIwYjEtOWI4MC00MzRkLThkZDctNGU3YjE4OGEwNTE3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR6,0,140,209_AL_.jpg",Shakti,"Sudhir Pandey was born on December 22, 1940 in British India"
882,Prem Nath,Actor,"https://m.media-amazon.com/images/M/MV5BMGNlYjQyODktMjAxZS00ZTViLWFkOGItY2U0OGM2NWIzYTZiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR19,0,140,209_AL_.jpg",Johny Mera Naam,"Prem Nath was born on November 21, 1926 in Peshawar, North-West Frontier Province, British India as Premnath Malhotra"
883,Sonal Sehgal,Actress,"https://m.media-amazon.com/images/M/MV5BZDcwM2Q4ZWQtNThjZi00YjkxLWIzMmUtMDI3ZjI2YjkwMmVkXkEyXkFqcGdeQXVyMjQxNzA1NjE@._V1_UX140_CR0,0,140,209_AL_.jpg",Aashayein,"Sonal Sehgal was born in Chandigarh, Punjab"
884,Sonam,Actress,"https://m.media-amazon.com/images/M/MV5BOTFlZDE0ODUtNGQ2ZC00NGNkLWEwZDQtMjdkODlkMzNiYmI2XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR1,0,140,209_AL_.jpg",Ajooba,"Perhaps one of the most beautiful & underrated Bollywood actresses, Sonam was born on September 2, 1972 in Bombay"
885,Sajid Khan,Actor,"https://m.media-amazon.com/images/M/MV5BZTMzOTNjNjEtMzQyMi00NmY0LWI3YmUtYzViZDNkMjhjNjMzXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR11,0,140,209_AL_.jpg",My Funny Girl,"Sajid Khan was born on December 28, 1951 in Bombay, State of Bombay, India"
886,Raj Khosla,Director,"https://m.media-amazon.com/images/M/MV5BNDFmYTNiNTItOTVlNS00ZmEzLTg3MzctMTU0ZTFiYWNmZmI2XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR15,0,140,209_AL_.jpg",Prem Kahani,"Raj Khosla was born on May 31, 1925 in Ludhiana, Punjab, British India"
887,Asha Bhosle,Music Department,"https://m.media-amazon.com/images/M/MV5BMDIwNWYyZDMtZWUyZS00OTc3LWE1OTQtZTJkZTc0NGY5ODRkXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR5,0,140,209_AL_.jpg",Lagaan: Once Upon a Time in India,"One of the greatest playback singers in Bollywood history, Asha Bhosle has recorded over 10,000 songs for over 800 movies"
888,Mamik Singh,Actor,"https://m.media-amazon.com/images/M/MV5BZDcyOGNkZDEtOGQ2OS00YjVmLTg4NGMtYTQ4MGQ4OTY2NzM2XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX140_CR0,0,140,209_AL_.jpg",Ssshhhh... Koi Hai,"Mamik Singh was born on May 3, 1963 in Bombay, Maharashtra, India"
889,Narendra Modi,Self,"https://m.media-amazon.com/images/M/MV5BYWNhYjYzZTItOGZiNC00Zjc0LThiZDYtZDZiOWE4MzQ3NmVjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR58,0,140,209_AL_.jpg",An Insignificant Man,"Narendra Modi was born on September 17, 1950 in Vadnagar, State of Bombay, India as Narendra Damodardas Modi"
890,Indraneil Sengupta,Actor,"https://m.media-amazon.com/images/M/MV5BZTRiM2FjMDYtYWY0MS00YmViLWFjZmItZTM4OWUzZGIwMTZkXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR5,0,140,209_AL_.jpg",Kahaani,"Indraneil Sengupta was born on September 8, 1974 in Ahmedabad, Gujarat, India"
891,Tharun Bhascker Dhaassyam,Writer,"https://m.media-amazon.com/images/M/MV5BMDExOWVjYzUtNjVlOS00Mzk3LTk2MTMtOTJhMWRkMTYyYzQzXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX140_CR0,0,140,209_AL_.jpg",Pelli Choopulu,"Tharun Bhascker Dhaassyam was born on November 5, 1988 in Madras, Tamil Nadu, India"
892,Avice Landone,Actress,"https://m.media-amazon.com/images/M/MV5BZGVhOGYyMzAtMWMwNi00ZmRlLWI4YzktNDBlMzMwZmQ3MDg3XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR17,0,140,209_AL_.jpg",The Franchise Affair,"Avice Landone was born on September 1, 1908 in Madras, India as Avice Spitta"
893,Ulka Gupta,Actress,"https://m.media-amazon.com/images/M/MV5BNWVlZWNmMTAtMjE0NS00NjNiLTkzYWYtYjM1MWEzNGFmZjMxXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR8,0,140,209_AL_.jpg",Simmba,"Ulka Gupta was born on April 12, 1997 in Mumbai, Maharashtra, India"
894,Helen Haye,Actress,"https://m.media-amazon.com/images/M/MV5BY2Q4NThkNzMtMWMwMC00MjZhLTg4OTctMmI1MDRkMTZhODBlXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR69,0,140,209_AL_.jpg",The Case of the Frightened Lady,"Helen Haye was born on August 28, 1874 in Assam Province, British India as Helen Mary Haye"
895,A.K. Lohithadas,Writer,"https://m.media-amazon.com/images/M/MV5BNWI5N2JhMzctMjJmOS00MmIxLTlkY2ItY2RkMGMxNzBjMTk4XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR65,0,140,209_AL_.jpg",Thaniyavartanam,A
896,Kalpana Pandit,Actress,"https://m.media-amazon.com/images/M/MV5BMDVjNDBhODktMmYyYS00OTg1LWE3ODItNTE0YWU3NTk0YmZkXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR6,0,140,209_AL_.jpg",Anubhav: An Actor's Tale,Kalpana Pandit was born in 1969 in India
897,Kamal Kapoor,Actor,"https://m.media-amazon.com/images/M/MV5BZjgyZjg2MzQtMjI0Ny00YTk1LTgwYjAtNTdhMmMxOGJlNDU0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR10,0,140,209_AL_.jpg",Don,"Kamal Kapoor was born on February 22, 1920 in Lahore, Punjab, British India"
898,Singeetam Srinivasa Rao,Director,"https://m.media-amazon.com/images/M/MV5BNDEyZDYwYjAtYzYxOS00ZTI2LWJjNjctNjcxZTY0MWJkZWUwXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR21,0,140,209_AL_.jpg",Pushpaka Vimana,"Singeetam Srinivasa Rao was born on September 21, 1931 in Udayagiri, Nellore District, Andhra Pradesh, India"
899,Meghan Jadhav,Actor,"https://m.media-amazon.com/images/M/MV5BMjkyNTg1NmMtODhiMy00YmY4LTg3ZDQtMTRjODY3ZGQ0YmMyXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR47,0,140,209_AL_.jpg",Brothers,"Meghan Jadhav, an actor born in Mumbai"
900,Prem Nazir,Actor,"https://m.media-amazon.com/images/M/MV5BZWM2YmYzNGYtZmU5My00NDk3LWE3MmItZTFjY2FlNjVmMTA3XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR0,0,140,209_AL_.jpg",Pancha Thanthram,Prem Nazir is considered to be the biggest star in Malyalam film history
901,Rajendra Nath,Actor,"https://m.media-amazon.com/images/M/MV5BN2FkZDQzM2EtMzMyOS00NTFlLTk1YmYtODU3YmJkMzJkNTA2XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR5,0,140,209_AL_.jpg",The Train,"Rajendra Nath was born in 1931 in Peshawar, North-West Frontier Province, British India as Rajendra Nath Malhotra"
902,Bif Naked,Soundtrack,"https://m.media-amazon.com/images/M/MV5BZjZmZDI5ODYtNjg5NS00ZGE0LWFlNzYtMjgwZWVkZTYzNDNkXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR12,0,140,209_AL_.jpg",The Boys Club,"Bif Naked was born on June 15, 1971 in New Delhi, India as Beth Torbert"
903,Roshni Chopra,Actress,"https://m.media-amazon.com/images/M/MV5BZjY0ZWEyYmItODdmMS00ZGM5LWE2ZGMtZjEzYjZmYjZkMjRmXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX140_CR0,0,140,209_AL_.jpg",Bhram: An Illusion,"Roshni Chopra was born on November 2, 1984 in New Delhi, India"
904,Uttar Kumar,Actor,"https://m.media-amazon.com/images/M/MV5BYzhiZDE3NWMtNzQ4NC00NDdkLWJhZWQtMDZkYjkxY2M1ZTI3XkEyXkFqcGdeQXVyMTA2MzgyNTk3._V1_UY209_CR93,0,140,209_AL_.jpg",Joda Thath Ka,"Uttar Kumar (Born: 7 October 1973) is a well-known actor, writer, director, he started his career with Dhakad Chhora (2004) film and the film was very successful"
905,Adoor Gopalakrishnan,Director,"https://m.media-amazon.com/images/M/MV5BMGRlZTA1ODEtZjg2Ni00Njc0LWFkMjQtZTljZDBkMTQwMzNkXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR0,0,140,209_AL_.jpg",Mathilukal,Adoor Gopalakrishnan is India's most acclaimed contemporary filmmaker
906,Sayantika Banerjee,Actress,"https://m.media-amazon.com/images/M/MV5BNTc1MDg5MjMtM2Q5ZS00N2YzLTk5NzQtMjIyNjU1MjQwOTFmXkEyXkFqcGdeQXVyNjgyOTIyNTM@._V1_UY209_CR87,0,140,209_AL_.jpg",Bindaas,"Sayantika Banerjee was born on August 12, 1986 in Calcutta, West Bengal, India"
907,Mohan Agashe,Actor,"https://m.media-amazon.com/images/M/MV5BZDhhZjVmZGItMzQ3MS00NDBkLTgzNDgtMzU3NTNjZjBjMmJiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR8,0,140,209_AL_.jpg",Kaasav: Turtle,"Mohan Agashe was born on July 23, 1947 in Bhor, Bombay Presidency, British India"
908,Mimoh Chakraborty,Actor,"https://m.media-amazon.com/images/M/MV5BYjk2M2RiOTktZjRhNS00Nzc5LWFjYzAtYWZlODVmN2JlZDhjXkEyXkFqcGdeQXVyMjk4ODMxMDk@._V1_UY209_CR87,0,140,209_AL_.jpg",Ishqedarriyaan,"Mimoh Chakraborty was born on July 30, 1984 in Bombay, Maharashtra, India as Mahakshay Chakraborty"
909,Payal Rohatgi,Actress,"https://m.media-amazon.com/images/M/MV5BODBlYzQwNTEtOTkzMC00NTBjLTgyNDItYjk0NzQ0OWJiOWIzXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX140_CR0,0,140,209_AL_.jpg",Plan,"A computer engineer by profession, Payal decided to try her hand in Bollywood after she was chosen in the last nine beauties in an Indian Beauty Pageant"
910,Innocent,Actor,"https://m.media-amazon.com/images/M/MV5BNGVmZThlYzktNDc0ZS00YjA5LWFiMDYtM2U3Y2U2ZDM3MzM2XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR0,0,140,209_AL_.jpg",Devasuram,"Innocent was born in Thrissur, Kerala, India as Innocent Vincent"
911,Sumona Chakravarti,Actress,"https://m.media-amazon.com/images/M/MV5BOTkwOGE0MzEtMDRkNS00M2U4LTlhN2YtZWFjMDFlZTBkMDA4XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX140_CR0,0,140,209_AL_.jpg",Barfi!,Sumona Chakravarti is an Indian actress known for her role of Natasha Kapoor in Bade Achhe Lagte Hain
912,Lata Mangeshkar,Music Department,"https://m.media-amazon.com/images/M/MV5BYmFhNjUzZjMtZDVkMC00ZTNlLWIyMTAtOTY1MzI4MjYxNGM1XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR1,0,140,209_AL_.jpg",Kabhi Khushi Kabhie Gham...,"Lata Mangeshkar was born in Indore on September 28, 1929, and became, quite simply, the most popular playback singer in Bollywood's history"
913,Nikhil Siddharth,Actor,"https://m.media-amazon.com/images/M/MV5BZDIxNDI0YzEtNThiMC00OGNjLWE1ZWQtYTlhYjdiOThjNWMyXkEyXkFqcGdeQXVyMjY1MjkzMjE@._V1_UY209_CR34,0,140,209_AL_.jpg",Arjun Suravaram,"Nikhil was born in Begumpet, Hyderabad"
914,Prashanth,Director,"https://m.media-amazon.com/images/M/MV5BMjAwNzY0NzY3OV5BMl5BanBnXkFtZTgwNjY2NDQ0MDI@._V1_UY209_CR91,0,140,209_AL_.jpg",Nagarathil Samsara Vishayam,"His first intention was to be a doctor, but finally he decided to be an actor, like his father T"
915,Srikanth,Actor,"https://m.media-amazon.com/images/M/MV5BMTRlMzhjYzQtZjJjOS00Y2M1LTkxNTgtYTg4NDliMTBkMmQ0XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX140_CR0,0,140,209_AL_.jpg",Parthiban Kanavu,Meka Srikanth is an Indian Film actor
916,Anju Mahendru,Actress,"https://m.media-amazon.com/images/M/MV5BODQyNDYwNjE4NF5BMl5BanBnXkFtZTcwOTg4ODgxOA@@._V1_UY209_CR4,0,140,209_AL_.jpg",Intaquam,"Anju Mahendru was born on January 11, 1946 in Bombay, Bombay Presidency, British India"
917,Bhagyaraj,Director,"https://m.media-amazon.com/images/M/MV5BZThjNGI1MmYtY2RjMC00ZmJiLWEyMzQtODk0YTBhMDAzZWZkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY209_CR22,0,140,209_AL_.jpg",Oru Kai Osai,"Bhagyaraj was born on January 7, 1953 in Vellangkoil, Tamil Nadu, India"
918,Sweta Keswani,Actress,"https://m.media-amazon.com/images/M/MV5BOGUyZGZhODktNzFlMi00MTUyLWE5YmQtZjBhMmExMzQ0OGJhXkEyXkFqcGdeQXVyMjY2NjExOTU@._V1_UX140_CR0,0,140,209_AL_.jpg",The Blacklist,"Sweta Keswani was born on August 19, 1980 in Bombay, Maharashtra, India"
919,Humayun Ahmed,Writer,"https://m.media-amazon.com/images/M/MV5BNTM5YmQ5ZGYtMzRiMC00ZmVkLWIzMGItYjkwMTRkZWIyMTk1XkEyXkFqcGdeQXVyNDI3NjcxMDA@._V1_UY209_CR21,0,140,209_AL_.jpg",Aguner Poroshmoni,"With the publishing of his first book, ""Nondito Noroke"" in 1972, Humayun Ahmed came into the limelight as a promising young writer"
920,Murad,Actor,"https://m.media-amazon.com/images/M/MV5BNGI4NDVkMDAtZTY2ZC00YTUwLWJhZWYtNWQ5ZTU4ZDI1NjQ1XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR13,0,140,209_AL_.jpg",Anokhi Ada,Murad was born in 1910 in India
921,Mahavir Shah,Actor,"https://m.media-amazon.com/images/M/MV5BZThjZjYwM2MtOTY4ZS00ZWFiLTg1ZjItNjRiNTE0NDUyM2M1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR12,0,140,209_AL_.jpg",Baadshah,"Mahavir Shah was born on April 5, 1960 in Bombay, State of Bombay, India"
922,Raghav Juyal,Actor,"https://m.media-amazon.com/images/M/MV5BYzA3ODE5YzgtZjRmMi00MWVlLTk1MjItM2U5N2NhOWFmN2E2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjgyOTU0ODU@._V1_UX140_CR0,0,140,209_AL_.jpg",Nawabzaade,"Raghav Juyal is an Actor, Dance and Show host"
923,Shahbaaz Khan,Actor,"https://m.media-amazon.com/images/M/MV5BYjQ2MjA3NjUtYmYyMC00YTQyLTljYWMtZTNiMzgwYTMyYjYwXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR8,0,140,209_AL_.jpg",Ssshhhh... Koi Hai,"Shahbaaz Khan was born on March 10, 1966 in Indore, Madhya Pradesh, India"
924,Neha Chowdhury,Actress,"https://m.media-amazon.com/images/M/MV5BYjA5ODE3MDYtZTRiOS00YmYzLTk2ZmQtY2I4MjY2NTQ2OWEyXkEyXkFqcGdeQXVyMjAyMzk1NDA@._V1_UY209_CR9,0,140,209_AL_.jpg",C.I.D.,"Neha Chowdhury, born in New Delhi, is an Indian Model, Dancer & Actress"
925,Dinesh Phadnis,Actor,"https://m.media-amazon.com/images/M/MV5BYjExZTM0MjktZjZmMC00YmRhLWI1ZjctZDZjYjNkMTFmNGE3XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR5,0,140,209_AL_.jpg",C.I.D.,"Dinesh Phadnis was born on November 2, 1966 in Bombay, Maharashtra, India"
926,Bridget Neval,Actress,"https://m.media-amazon.com/images/M/MV5BMjI2Nzc1NjE2MF5BMl5BanBnXkFtZTgwODUwNTg3MjE@._V1_UY209_CR69,0,140,209_AL_.jpg",Guinevere Jones,"Born in India, brought up in Canada, and moving to Australia in her early teens, Bridget is best known to Australian and UK audiences for her role of ""Lana Crawford"" in Neighbours, where she had the controversial task of playing the show's first openly gay character"
927,Jaya Prada,Actress,"https://m.media-amazon.com/images/M/MV5BNDU2MGY2YzAtOGJmMC00YmI2LTliNDctNGNlMDIxNjkxYzkyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR6,0,140,209_AL_.jpg",Sagara Sangamam,"Jayaprada was born as Lalita Rani in a middle class household to Krishna and Neelavani in Rajahmundry, Andhra Pradesh on April 3, 1962"
928,Malini Sharma,Actress,"https://m.media-amazon.com/images/M/MV5BNjc5NDY4MDktMzY2ZS00YWViLTg3YmItNWNkOGQzMWU3ZmM3XkEyXkFqcGdeQXVyMjY1MjkzMjE@._V1_UY209_CR69,0,140,209_AL_.jpg",Raaz,Malini Sharma is an Indian actress and model who made her debut in Vikram Bhatt's horror movie RAAZ
929,Aishani Shetty,Actress,"https://m.media-amazon.com/images/M/MV5BNTg1MTU5YjctYzk4Yi00M2Y3LWFkZmUtNWE0MjBmNGU4ZDg4XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX140_CR0,0,140,209_AL_.jpg",Plus,"Aishani Shetty was born on April 15, 1995 in Mangalore, Karnataka, India"
930,Patrick Barr,Actor,"https://m.media-amazon.com/images/M/MV5BZjFjODUzMDYtNzA1ZS00NjAyLWE5OTUtYThmNTczZjc4NjY1XkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_UX140_CR0,0,140,209_AL_.jpg",Octopussy,"Patrick Barr, born into a judicial family in British India in 1908, was active for more than half a century on the stage, screen and, later, very successfully on television"
931,Ursula Jeans,Actress,"https://m.media-amazon.com/images/M/MV5BMTQxMzE2NDQ2OV5BMl5BanBnXkFtZTgwMjMxNjA1MjE@._V1_UY209_CR6,0,140,209_AL_.jpg",Dark Journey,"Fair-haired, blue-eyed British actress with a long career on the London stage"
932,Nalini Jaywant,Actress,"https://m.media-amazon.com/images/M/MV5BMTI4MzA2OTk0Ml5BMl5BanBnXkFtZTcwMjY1NTAzMQ@@._V1_UY209_CR16,0,140,209_AL_.jpg",Kala Pani,"Nalini Jaywant was born on February 18, 1926 in Bombay, Bombay Presidency, British India"
933,Rajniesh Duggall,Actor,"https://m.media-amazon.com/images/M/MV5BMDljMzdkM2YtMTk2YS00MjMyLWI0MTctNTFlYjBkOTYzMTJjXkEyXkFqcGdeQXVyMjQxODI5ODU@._V1_UY209_CR24,0,140,209_AL_.jpg",1920,"Rajniesh Duggall was born on November 19, 1979 in India"
934,Suhaas Ahuja,Actor,"https://m.media-amazon.com/images/M/MV5BYzI2ZTBkZjUtODJiNi00YjQxLWIzNjMtNmFjMDMwYzQ3NGQzXkEyXkFqcGdeQXVyNzQwNTY2ODI@._V1_UX140_CR0,0,140,209_AL_.jpg",Talaash,"Suhaas Ahuja was born on November 12, 1977 in Chennai (Madras), India"
935,Kishwar Merchant,Actress,"https://m.media-amazon.com/images/M/MV5BN2JkYTA1OGQtZmNhNC00ZTI2LWIxNjQtYmM1NGU3NjQ3YzBiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR2,0,140,209_AL_.jpg",Ssshhhh... Koi Hai,Kishwer Merchant is an Indian television actress and model
936,Moon Moon Sen,Actress,"https://m.media-amazon.com/images/M/MV5BODVmNTI5OTYtNjMwYS00OTFjLThmMzMtYjJjMTJjZjBmMGJlXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR8,0,140,209_AL_.jpg",Pathar Ke Insan,"Moon Moon Sen was born on March 28, 1948 in Calcutta, West Bengal, India"
